Rank	Uinversity	Country	Citations
1161	Nippon Medical School / 日本医科大学	JAPAN	22132
1162	Université de Rouen	FRANCE	22106
1163	Feng Chia University	TAIWAN	22086
1164	Universidade Federal de Uberlândia	BRAZIL	22060
1165	Shivaji University	INDIA	22037
1166	University of North Carolina Wilmington	USA	22029
1167	Universidad Nacional de Colombia	COLOMBIA	22015
1168	Teesside University	UNITED KINGDOM	21988
1169	National Dong Hwa University (Hualien University of Education)	TAIWAN	21940
1170	University of Northern British Columbia	CANADA	21922
1171	Embry Riddle Aeronautical University	USA	21885
1172	University of Fukui / 福井大学	JAPAN	21864
1173	Universidade Federal de Lavras UFLA	BRAZIL	21832
1174	Towson University (Baltimore Hebrew University)	USA	21793
1175	Université de Pau et des Pays de l'Adour	FRANCE	21786
1176	Royal Military College Canada	CANADA	21749
1177	Shizuoka University / 静岡大学	JAPAN	21681
1178	University of Tanta	EGYPT	21677
1179	Trinity University San Antonio	USA	21636
1180	Hofstra University	USA	21603
1181	Universidad Austral de Chile	CHILE	21528
1182	University of Science & Technology Beijing / 北京科技大学	CHINA	21504
1183	School of Oriental and African Studies University of London	UNITED KINGDOM	21459
1184	Iran University of Science & Technology Tehran	IRAN	21410
1184	Seattle University	USA	21410
1186	Zhejiang Normal University / 浙江师范大学	CHINA	21342
1187	Harokopio University of Athens	GREECE	21337
1188	Southwest Jiaotong University / 西南交通大学	CHINA	21279
1189	Aligarh Muslim University	INDIA	21224
1190	Universidad de León	SPAIN	21204
1191	Sheffield Hallam University	UNITED KINGDOM	21156
1192	Agricultural University of Athens	GREECE	20982
1193	University of the Western Cape	SOUTH AFRICA	20969
1194	Blekinge Institute of Technology / Blekinge Tekniska Högskola	SWEDEN	20948
1195	Mansoura University	EGYPT	20872
1196	Tallinn University of Technology / Tallinna Tehnikaülikool	ESTONIA	20848
1197	Alexandria University	EGYPT	20838
1198	Firat University / Fýrat Üniversitesi	TURKEY	20771
1199	Northwest A & F University / 西北农林科技大学	CHINA	20770
1200	Willamette University	USA	20759
1201	Osaka City University / 大阪市立大学	JAPAN	20743
1202	Taegu University / 대구대학교	SOUTH KOREA	20720
1203	Postgraduate Institute of Medical Education & Research Chandigarh	INDIA	20686
1204	Masdar Institute of Science & Technology	ARAB EMIRATES	20643
1205	Jiangnan University (Southern Yangtze University) / 江南大学	CHINA	20628
1206	Istituto di studi avanzati di Lucca IMT	ITALY	20599
1207	Saint John's University	USA	20536
1208	Yerevan Physics Institute	ARMENIA	20447
1209	University of Ruhuna	SRI LANKA	20446
1210	Marmara University	TURKEY	20434
1211	Libera Università Internazionale degli Studi Sociali Guido Carli LUISS	ITALY	20399
1212	Shahid Beheshti University of Medical Sciences	IRAN	20350
1213	Scottish Rural College (Scottish Agricultural College)	UNITED KINGDOM	20299
1214	Cyprus University of Technology	CYPRUS	20291
1215	Manipal University	INDIA	20284
1216	Université du Maine Le Mans Laval	FRANCE	20251
1217	College of Charleston	USA	20216
1218	Hangzhou Normal University / 杭州师范大学	CHINA	20183
1219	Kongju National University / 공주대학교	SOUTH KOREA	20158
1220	Claremont Mckenna College	USA	20078
1221	Institute of Mathematical Sciences	INDIA	20055
1222	Yeungnam University / 영남대학교	SOUTH KOREA	19994
1223	Donghua University / 东华大学	CHINA	19992
1224	Jamia Millia Islamia	INDIA	19926
1225	University of the Free State	SOUTH AFRICA	19795
1226	California State University Dominguez Hills	USA	19746
1227	Universitat Ramon Llull	SPAIN	19656
1228	Universidad Nacional de Mar del Plata	ARGENTINA	19627
1229	Ege University	TURKEY	19622
1230	AGH University of Science & Technology / Akademia Górniczo-Hutnicza Stanisława Staszica w Krakowie	POLAND	19587
1231	Anglia Ruskin University	UNITED KINGDOM	19578
1232	Robert Gordon University	UNITED KINGDOM	19519
1233	Université Jean Monnet Saint Etienne	FRANCE	19515
1234	Kumoh National Institute of Technology / 금오공과대학교	SOUTH KOREA	19493
1235	Saha Institute of Nuclear Physics	INDIA	19462
1236	University of Malta	NALTA	19416
1237	Zayed University	ARAB EMIRATES	19399
1238	Mie University / 三重大学	JAPAN	19312
1239	King Mongkut's University of Technology Thonburi	THAILAND	19227
1240	Assiut University	EGYPT	19182
1241	Athabasca University	CANADA	19142
1242	Universidad de Antioquia	COLOMBIA	19127
1243	Kinki University / 近畿大学	JAPAN	19102
1244	University of Brunei Darussalam	BRUNEI	19096
1245	AgroParisTech Institut des Sciences et Industries du Vivant et de l'Environnement	FRANCE	18988
1246	Université de Caen Basse Normandie	FRANCE	18959
1247	BI Norwegian Business School / Handelshøyskolen BI	NORWAY	18954
1248	Paris School of Economics	FRANCE	18930
1249	Zhejiang University of Technology / 浙江工业大学	CHINA	18876
1250	South University of Science & Technology of China / 南方科技大学	CHINA	18863
1251	University of San Francisco	USA	18860
1252	Politecnico di Bari	ITALY	18802
1253	International Max Planck Research School for Astronomy and Cosmic Physics at the University of Heidelberg	GERMANY	18759
1254	Medizinische Universität Graz	AUSTRIA	18723
1255	University of West Florida	USA	18637
1256	Universidade Estadual do Norte Fluminense Darcy Ribeiro	BRAZIL	18635
1257	Appalachian State University	USA	18592
1258	TOBB Economics and Technology University	TURKEY	18555
1259	Télécom SudParis Institut National des Telecommunications	FRANCE	18510
1260	Franklin & Marshall College	USA	18500
1261	Quaid-i-Azam University Islamabad	PAKISTAN	18467
1262	University of Silesia in Katowice / Uniwersytet Śląski w Katowicach	POLAND	18446
1263	University of the Philippines Diliman	PHILIPPINES	18439
1264	Vilnius University / Vilniaus universitetas	LITHUANIA	18374
1265	Gunma University / 群馬大学	JAPAN	18363
1266	University of Tokushima / 徳島大学	JAPAN	18348
1267	Sofia University St Kliment Ohridski / Софийски университет Св Климент Охридски	BULGARIA	18341
1268	Centro de Investigación Científica y de Educación Superior de Ensenada	MEXICO	18322
1269	Wichita State University	USA	18253
1270	Siksha O Anusandhan University	INDIA	18193
1271	Shinshu University / 信州大学	JAPAN	18163
1272	University of Winnipeg	CANADA	18026
1273	University of Medicine & Dentistry of New Jersey	USA	18004
1274	Asian Institute of Technology Thailand	THAILAND	17988
1275	Nagaoka University of Technology / 長岡技術科学大学	JAPAN	17852
1276	Wakayama University / 和歌山大学	JAPAN	17847
1277	University of San Diego	USA	17799
1278	Air Force Institute of Technology	USA	17769
1279	Tecnológico de Monterrey	MEXICO	17673
1280	École Nationale Supérieure d'Ingénieurs de Caen	FRANCE	17641
1281	Acadia University	CANADA	17639
1282	Alexandru Ioan Cuza University	ROMANIA	17624
1283	Université Paris-Est Créteil UPEC (Université Paris 12)	FRANCE	17589
1284	Sophia University / 上智大学	JAPAN	17580
1285	Atatürk University	TURKEY	17548
1286	Université Laurentienne / Laurentian University	CANADA	17506
1287	University of Northern Iowa	USA	17460
1288	Middlebury College	USA	17406
1289	Ehime University / 愛媛大学	JAPAN	17320
1290	Universität Trier	GERMANY	17282
1291	Université Savoie Mont Blanc	FRANCE	17259
1292	Shiraz University of Medical Sciences	IRAN	17258
1293	École Nationale Supérieure de Chimie de Paris	FRANCE	17235
1294	University of Peradeniya	SRI LANKA	17230
1295	Northwest University China / 西北大学	CHINA	17151
1296	New Mexico Institute of Mining & Technology New Mexico Tech	USA	17089
1297	Yazd University	IRAN	17032
1298	University of New England Maine	USA	17003
1299	Saint Francis Xavier University	CANADA	16999
1299	University of South Bohemia / Jihočeská Univerzita v Českých Budějovicích	CEZCH REPUBLIC	16999
1301	IESE Business School Universidad de Navarra	SPAIN	16978
1302	Nanjing Medical University / 南京医科大学	CHINA	16972
1303	Indian Institute of Science Education and Research Kolkata	INDIA	16961
1303	Universidad de Cádiz	SPAIN	16961
1305	Halmstad University / Högskolan i Halmstad	SWEDEN	16946
1306	Kagawa University / 香川大学	JAPAN	16936
1307	University of Shanghai for Science & Technology / 上海理工大学	CHINA	16935
1308	Instituto Politécnico Nacional	MEXICO	16928
1309	China University of Petroleum / 中国石油大学	CHINA	16908
1310	National Changhua University of Education	TAIWAN	16905
1311	École Nationale d'Ingénieurs de Tarbes	FRANCE	16889
1312	University of Pune	INDIA	16856
1313	State University of New York College of Environmental Science and Forestry	USA	16853
1314	Universitas Gadjah Mada	INDONESIA	16809
1315	Shahid Beheshti University Tehran	IRAN	16795
1316	Università degli Studi di Cassino	ITALY	16792
1317	Universidade Federal do Espírito Santo	BRAZIL	16763
1318	Sree Chitra Tirunal Institute for Medical Sciences and Technology	INDIA	16749
1319	Université de Technologie de Troyes	FRANCE	16746
1320	Universidade Nove de Julho	BRAZIL	16732
1321	Near East University / Yakın Doğu University		16714
1322	Universidade da Beira Interior	PORTUGAL	16695
1323	Universität Otto Friedrich Universität Bamberg	GERMANY	16691
1324	Loyola University Maryland	USA	16666
1325	Ariel University	ISRAEL	16652
1326	Instituto Politécnico do Porto	PORTUGAL	16551
1327	University of Akureyri / Háskólinn á Akureyri	ICELAND	16539
1328	Haverford College	USA	16525
1329	University of Texas Pan American	USA	16490
1330	Universidad de Guanajuato	MEXICO	16449
1331	Chongqing University of Posts & Telecommunications / 重庆邮电大学	CHINA	16435
1332	Amherst College	USA	16432
1333	Université du Québec Rimouski	CANADA	16355
1334	Hong Kong Institute of Education	HONG KONG	16336
1335	University of Bucharest	ROMANIA	16335
1336	Adnan Menderes University	TURKEY	16326
1337	Macau University of Science & Technology	MACAU	16298
1338	University Politechnica of Bucharest / Universitatea Politehnica din Bucuresti	ROMANIA	16238
1338	Canisius College	USA	16238
1340	University of Anatolia / Anadolu Üniversitesi	TURKEY	16235
1341	Dublin Institute For Advanced Studies	IRELAND	16195
1342	University of Wisconsin Oshkosh	USA	16113
1343	University of Scranton	USA	16074
1344	Shiraz University	IRAN	16031
1345	Humboldt State University	USA	15996
1346	Malmo University / Malmö högskola	SWEDEN	15989
1347	University of Saint Thomas Saint Paul	USA	15933
1348	Christian Medical College Vellore	INDIA	15874
1349	Pamukkale University	TURKEY	15858
1350	Universidade Federal de Campina Grande	BRAZIL	15786
1351	Gonzaga University	USA	15784
1352	University of Tennessee Chattanooga	USA	15744
1353	Bowdoin College	USA	15724
1354	Thapar University (Thapar Institute of Engineering & Technology)	INDIA	15668
1355	Université de Limoges	FRANCE	15614
1356	University of Latvia / Latvijas Universitāte Riga	LATVIA	15611
1357	Universidad de los Andes Mérida	VENEZUELA	15593
1358	University of the West of Scotland (University of Paisley)	UNITED KINGDOM	15570
1359	Universidade Federal do Rio Grande FURG	BRAZIL	15569
1360	Télécom Bretagne École Nationale Supérieure des Telecommunications de Bretagne	FRANCE	15535
1361	Howard University	USA	15530
1362	Selçuk University	TURKEY	15481
1363	Universität der Bundeswehr München	GERMANY	15477
1364	Chung Hua University	TAIWAN	15460
1365	Universidade Federal de Ouro Preto UFOP	BRAZIL	15403
1366	Université de Valenciennes et du Hainaut Cambresis	FRANCE	15386
1367	Petroleum Institute Abu Dhabi	ARAB EMIRATES	15365
1368	Universiti Malaysia Sarawak	MALAYSIA	15302
1369	Swarthmore College	USA	15294
1370	Kangwon National University (Samcheok National University) / 강원대학교	SOUTH KOREA	15292
1371	Acibadem University	TURKEY	15272
1371	Albany Medical College	USA	15272
1373	Cape Breton University	CANADA	15240
1374	Scottish Association for Marine Science	UNITED KINGDOM	15239
1375	Chubu University / 中部大学	JAPAN	15223
1376	Dankook University / 단국대학교	SOUTH KOREA	15191
1377	Ferdowsi University of Mashhad	IRAN	15179
1378	Vassar College	USA	15162
1379	Rosalind Franklin University of Medicine and Science	USA	15156
1380	University of Sunderland	UNITED KINGDOM	15155
1381	University of Miyazaki / 宮崎大学	JAPAN	15138
1382	National Yunlin University of Science & Technology	TAIWAN	15129
1383	École Nationale Supérieure des Arts et Métiers ENSAM	FRANCE	15125
1384	Universiti Teknologi MARA / MARA University of Technology	MALAYSIA	15124
1385	University of International Business & Economics / 对外经济贸易大学	CHINA	15119
1386	University of Wisconsin Eau Claire	USA	15116
1387	Edge Hill University	UNITED KINGDOM	15101
1388	Fachhochschule Nordwestschweiz	SWITZERLAND	15082
1389	University of Nigeria	NIGERIA	15076
1390	Palacký University / Univerzita Palackého v Olomouci	CEZCH REPUBLIC	15044
1391	Université Toulouse II Le Mirail	FRANCE	15033
1392	China Medical University Taiwan	TAIWAN	14996
1392	A T Still University	USA	14996
1394	University of Vaasa / Vaasan yliopisto	FINLAND	14962
1395	Graduate Institute of International Studies Geneva	SWITZERLAND	14942
1396	Universidade Estadual de Feira de Santana UEFS	BRAZIL	14933
1397	Mount Allison University	CANADA	14892
1398	East Tennessee State University	USA	14882
1399	Universidade de Évora	PORTUGAL	14842
1400	Universidad Adolfo Ibáñez	CHILE	14832
1401	Korea Aerospace University (Hankuk Aviation University) / 한국항공대학	SOUTH KOREA	14828
1402	Óbuda University (Budapest Polytechnic) / Óbudai Egyetem	HUNGARY	14821
1403	Suranaree University of Technology	THAILAND	14807
1404	Gachon University	SOUTH KOREA	14754
1405	University of Tabriz	IRAN	14748
1406	ESCP Europe Business School		14747
1407	Adam Mickiewicz University Poznan / Uniwersytet Adama Mickiewicza w Poznaniu	POLAND	14741
1408	University of Novi Sad / Универзитет у Новом Саду / Univerzitet u Novom Sadu	SERBIA	14740
1409	University of Gloucestershire	UNITED KINGDOM	14738
1410	Capital Normal University / 首都师范大学	CHINA	14700
1411	Université du Sud Toulon Var	FRANCE	14659
1412	Hankuk University of Foreign Studies / 한국외국어대학교	SOUTH KOREA	14657
1413	College of the Holy Cross	USA	14644
1414	Universidad de Burgos	SPAIN	14613
1415	Pontificia Universidad Javeriana	COLOMBIA	14574
1416	Khaje-Nassir-Toosi University of Technology	IRAN	14556
1417	University of South Africa	SOUTH AFRICA	14535
1418	Çukurova University	TURKEY	14530
1419	University of Macedonia	GREECE	14510
1420	Université de Picardie Jules Verne	FRANCE	14500
1421	University of Damman	SAUDI ARABIA	14438
1422	Konan University / 甲南大学	JAPAN	14384
1423	Drake University	USA	14331
1424	West Chester University of Pennsylvania	USA	14323
1425	Chungbuk National University / 충북대학교	SOUTH KOREA	14289
1426	Brno University of Technology / Vysoké Učení Technické v Brně	CEZCH REPUBLIC	14275
1427	Istituto Dalle Molle di Studi sull'Intelligenza Artificiale	SWITZERLAND	14272
1428	Napier University Edinburgh	UNITED KINGDOM	14232
1429	Punjab Agricultural University Ludhiana	INDIA	14212
1430	Universidad de Huelva	SPAIN	14190
1431	Universidad Autónoma de San Luis Potosí	MEXICO	14175
1432	Durban University of Technology	SOUTH AFRICA	14157
1433	Universidade Federal de Juiz de Fora UFJF	BRAZIL	14145
1434	Saint Petersburg State University / Санкт Петербургский государственный университет	RUSSIA	14120
1435	Yanshan University / 燕山大学	CHINA	14103
1436	University of Baltimore	USA	14041
1437	Vilnius Gediminas Technical University / Vilniaus Gedimino technikos universitetas	LITHUANIA	14033
1438	Université du Québec Trois-Rivieres	CANADA	14022
1439	Aoyama Gakuin University / 青山学院大学	JAPAN	14003
1440	Meiji University / 明治大学	JAPAN	13981
1441	Panjab University	INDIA	13976
1442	Arkansas State University	USA	13975
1443	University of South Wales (Glamorgan & Wales Newport)	UNITED KINGDOM	13969
1444	Grenoble École de Management	FRANCE	13958
1445	Jordan University of Science & Technology	JORDAN	13939
1446	Universidad Nacional del Litoral	ARGENTINA	13921
1447	Yokohama City University / 横浜市立大学	JAPAN	13901
1448	University of Prince Edward Island	CANADA	13898
1448	École Nationale Supérieure des Mines de Saint Étienne	FRANCE	13898
1450	Universidade de Tras os Montes e Alto Douro	PORTUGAL	13897
1451	Universidad Politécnica de Cartagena	SPAIN	13834
1452	California State University San Bernardino	USA	13833
1453	Mid-Sweden University / Mittuniversitetet	SWEDEN	13832
1454	National Taipei University of Technology	TAIWAN	13809
1455	Ain Shams University	EGYPT	13780
1456	The Graduate University for Advanced Studies / 総合研究大学院大学	JAPAN	13777
1457	Kenyatta University	KENYA	13725
1458	Universidade Cruzeiro do Sul	BRAZIL	13709
1458	Cochin University of Science & Technology	INDIA	13709
1460	Institute of Technology Bandung	INDONESIA	13651
1461	Hongik University / 홍익대학교	SOUTH KOREA	13646
1462	Hunan University of Science & Technology / 湖南科技大学	CHINA	13563
1463	Technological Education Institute of Crete	GREECE	13561
1464	Helmut Schmidt Universität	GERMANY	13503
1465	University of Texas Tyler	USA	13493
1465	Bard College	USA	13493
1467	De La Salle University Manila	PHILIPPINES	13442
1468	Università degli Studi di Napoli Parthenope (Istituto Universitario Navale)	ITALY	13439
1469	Hope College	USA	13424
1470	Pomona College	USA	13377
1471	İstanbul Medeniyet Üniversitesi	TURKEY	13364
1472	Midwestern University	USA	13362
1473	Myongji University / 명지대학교	SOUTH KOREA	13330
1474	International Institute of Information Technology Hyderabad	INDIA	13317
1475	New York Institute of Technology	USA	13315
1476	Université de Versailles Saint Quentin en Yvelines	FRANCE	13257
1477	FernUniversität in Hagen	GERMANY	13245
1478	Tokyo Denki University / 東京電機大学	JAPAN	13223
1479	University of Burdwan	INDIA	13199
1480	Ball State University	USA	13179
1481	Harvey Mudd College	USA	13145
1482	Universidad Andrés Bello	CHILE	13132
1483	Texas A&M University Commerce	USA	13126
1484	Bangladesh University of Engineering and Technology	BANGLADESH	13122
1485	Akdeniz University	TURKEY	13118
1486	University of Kashan	IRAN	13115
1487	Amrita University	INDIA	13112
1488	Multimedia University	MALAYSIA	13074
1489	Universiti Teknologi Petronas	MALAYSIA	13065
1490	Union College Schenectady NY	USA	13064
1491	Université de Reims Champagne Ardenne	FRANCE	13036
1492	Inje University / 인제대학교	SOUTH KOREA	13033
1493	Soongsil University / 숭실대학교	SOUTH KOREA	13019
1494	University of Ryukyus / 琉球大学	JAPAN	13007
1495	Universiti Tunku Abdul Rahman	MALAYSIA	12991
1496	National Taras Shevchenko University of Kyiv (Kiev)	UKRAINE	12959
1497	London South Bank University	UNITED KINGDOM	12942
1498	University of Sharjah	ARAB EMIRATES	12937
1499	Inter-University Centre for Astronomy and Astrophysics	INDIA	12932
1500	Eskişehir Osmangazi University	TURKEY	12913
1501	Universidade dos Açores	PORTUGAL	12890
1502	Université Bordeaux	FRANCE	12833
1503	EDHEC Business School	FRANCE	12821
1504	Institut National des Sciences Appliquées de Toulouse	FRANCE	12682
1505	Yale NUS College	SINGAPORE	12661
1506	California State University East Bay	USA	12660
1507	California State University Sacramento / Sacramento State	USA	12655
1508	Kagoshima University / 鹿児島大学	JAPAN	12654
1509	Suleyman Demirel University Turkey	TURKEY	12637
1510	Seoul National University of Science & Technology / 서울과학기술대학교	SOUTH KOREA	12570
1511	University of Wisconsin Whitewater	USA	12546
1512	Leeds Beckett University (Leeds Metropolitan University)	UNITED KINGDOM	12536
1513	Kaohsiung Medical University	TAIWAN	12529
1514	Gdansk University of Technology / Politechnika Gdańska	POLAND	12484
1515	Chang'an University / 长安大学	CHINA	12465
1516	Universidad Nacional del Centro de la Provincia de Buenos Aires	ARGENTINA	12413
1517	Eastern Michigan University	USA	12402
1518	University of Calcutta	INDIA	12389
1519	Henan University / 河南大学	CHINA	12386
1520	Bradley University	USA	12381
1521	Indian Institute of Space Science & Technology	INDIA	12361
1522	Jönköping University / Högskolan i Jönköping	SWEDEN	12350
1523	Missouri State University	USA	12349
1524	Mashhad University of Medical Sciences	IRAN	12336
1525	Seattle Pacific University	USA	12304
1526	Jazan University	SAUDI ARABIA	12288
1527	Karadeniz Technical University	TURKEY	12275
1528	Université Pierre Mendes Grenoble 2	FRANCE	12259
1529	William Paterson University of New Jersey	USA	12236
1530	University of Colombo	SRI LANKA	12219
1531	Izmir Institute of Technology / İzmir Yüksek Teknoloji Enstitüsü	TURKEY	12191
1532	University of Jinan / 济南大学	CHINA	12190
1533	Università degli Studi di Foggia	ITALY	12177
1534	Kyiv National Economic University Vadym Hetman / Київський нацiональний економiчний унiверситет	UKRAINE	12174
1535	Colegio de la Frontera Sur	MEXICO	12138
1536	Universidad Industrial de Santander	COLOMBIA	12131
1537	Université d'Orléans	FRANCE	12123
1538	Fayetteville State University	USA	12113
1539	Xi'An Jiaotong-Liverpool University / 西交利物浦大学	CHINA	12109
1540	Université de Bretagne Sud	FRANCE	12098
1541	Istanbul Medipol University	TURKEY	12080
1542	Universidad Nacional de San Martín Argentina	ARGENTINA	12079
1543	Universiti Malaysia Sabah	MALAYSIA	12064
1544	Sumy State University	UKRAINE	12021
1545	University of Skovde / Högskolan i Skövde	SWEDEN	11948
1546	Universidade Federal do Amazonas UFAM	BRAZIL	11939
1546	College of Wooster	USA	11939
1548	Xiangtan University / 湘潭大学	CHINA	11934
1549	Benemérita Universidad Autónoma de Puebla	MEXICO	11926
1550	Universidad de Santiago de Chile	CHILE	11894
1551	Universität Witten Herdecke	GERMANY	11890
1552	University Politechnica of Timisoara	ROMANIA	11874
1553	Université d'Artois	FRANCE	11846
1554	Yildiz Technical University / Yıldız Teknik Üniversitesi	TURKEY	11836
1555	Jikei University School of Medicine / 東京慈恵会医科大学	JAPAN	11829
1556	University of Zielona Góra / Uniwersytet Zielonogórski	POLAND	11817
1557	École Nationale Supérieure de Techniques Avancees	FRANCE	11808
1558	Zhengzhou University / 郑州大学	CHINA	11794
1559	Reed College	USA	11740
1560	Long Island University	USA	11715
1561	Sanjay Gandhi Postgraduate Institute of Medical Sciences	INDIA	11705
1562	Macalester College	USA	11704
1563	Universidade de Franca UNIFRAN	BRAZIL	11701
1564	Sakarya University	TURKEY	11677
1565	Shimane University / 島根大学	JAPAN	11674
1566	Indraprastha Institute of Information Technology Delhi	INDIA	11625
1567	Texas A&M University Corpus Christi	USA	11624
1568	Bahçeşehir University	TURKEY	11606
1569	National Taipei University	TAIWAN	11598
1570	Centro de Investigación y Docencia Económicas	MEXICO	11577
1571	National Institute of Technology Rourkela	INDIA	11566
1572	Université Cadi Ayyad Marrakech	MOROCCO	11549
1573	Universidad Autónoma de Nuevo León	MEXICO	11539
1574	Universidade Estadual de Ponta Grossa UEPG	BRAZIL	11518
1575	Università degli Studi Mediterranea di Reggio Calabria	ITALY	11511
1576	Veterinarmedizinische Universität Wien	AUSTRIA	11498
1577	Institut National des Sciences Appliquées de Rennes	FRANCE	11441
1578	Nihon University / 日本大学	JAPAN	11438
1579	University of the South Pacific	FIJI	11436
1580	Kazan (Volga Region) Federal University / Kазанский (приволжский) Федеральный Университет	RUSSIA	11428
1581	Universidad de Colima	MEXICO	11389
1582	University of Kelaniya	SRI LANKA	11367
1583	Universidad Central de Venezuela	VENEZUELA	11357
1584	Silesian University of Technology in Gliwice / Politechnika Śląska w Gliwicach	POLAND	11349
1585	Universidad de Guadalajara	MEXICO	11317
1586	Shanxi University / 山西大学	CHINA	11316
1587	Pondicherry University	INDIA	11281
1588	Tezpur University	INDIA	11273
1589	University of Mysore	INDIA	11242
1590	Jeju National University (Cheju) / 제주대학교	SOUTH KOREA	11220
1591	Birmingham City University (University of Central England)	UNITED KINGDOM	11171
1592	University of Nottingham Malaysia	MALAYSIA	11142
1593	China Europe International Business School / 中欧国际工商学院	CHINA	11101
1594	Delaware State University	USA	11094
1595	University of Madras	INDIA	11063
1596	Universitatea Tehnica din Cluj-Napoca (North University of Baia Mare)	ROMANIA	11057
1597	Brandenburgische Technische Universität Cottbus	GERMANY	11049
1598	Gebze Institute of Technology / Gebze Yüksek Teknoloji Enstitüsü	TURKEY	11045
1599	University of Chester	UNITED KINGDOM	11041
1600	National Graduate Institute for Policy Studies / 政策研究大学院大学	JAPAN	11014
1601	Bharathidasan University	INDIA	11009
1602	Henan Polytechnic University / 河南理工大学	CHINA	10993
1603	University of Dhaka	BANGLADESH	10970
1604	Calvin College	USA	10958
1605	Cork Institute of Technology	IRELAND	10944
1606	Universidade Federal Rural do Rio de Janeiro UFRRJ	BRAZIL	10928
1607	COMSATS Institute of Information Technology Islamabad	PAKISTAN	10903
1608	University of Ibadan	NIGERIA	10867
1609	Nipissing University	CANADA	10857
1610	Nanjing University of Information Science & Technology (ex-Institute of Meteorology) / 南京信息工程大学	CHINA	10846
1611	Taif University	SAUDI ARABIA	10814
1611	Chosun University / 조선대학교	SOUTH KOREA	10814
1613	Gyeongsang National University / 경상대학교	SOUTH KOREA	10775
1614	Kasetsart University	THAILAND	10770
1615	Beni Suef University	EGYPT	10765
1616	Yeditepe University	TURKEY	10763
1617	Muğla Sıtkı Koçman University	TURKEY	10753
1618	Ithaca College	USA	10747
1619	National Institute of Technology Tiruchirappalli	INDIA	10736
1620	Yamagata University / 山形大学	JAPAN	10707
1621	Universidade Tecnológica Federal do Paraná UTFRP	BRAZIL	10706
1622	Medical University of Gdansk / Gdański Uniwersytet Medyczny	POLAND	10705
1623	Pontificia Universidad Católica del Perú	PERU	10673
1624	Université d'Avignon et des Pays de Vaucluse	FRANCE	10646
1624	Mount Holyoke College	USA	10646
1626	National Nuclear Research University (Moscow State Engineering Physics Institute) / Национальный исследовательский ядерный университет МИФИ	RUSSIA	10620
1627	John Carroll University	USA	10618
1628	University of Nordland / Universitetet i Nordland (Bodo Regional University / Høgskolen i Bodø)	NORWAY	10616
1629	Universitas Indonesia	INDONESIA	10612
1630	Colorado College	USA	10600
1631	Institute for Advanced Study	USA	10591
1632	Université Paris Ouest Nanterre La Défense (Paris X)	FRANCE	10567
1633	Hertie School of Governance	GERMANY	10541
1634	Universiti Malaysia Perlis	MALAYSIA	10523
1635	Indian Institute of Technology Hyderabad	INDIA	10513
1636	College of New Jersey	USA	10504
1637	Instituto Politécnico de Lisboa	PORTUGAL	10491
1638	Universiti Malaysia Pahang	MALAYSIA	10468
1639	İnönü University Malatya	TURKEY	10456
1640	Faculdade de Medicina de São José do Rio Preto FAMERP	BRAZIL	10451
1641	Roosevelt University	USA	10444
1642	University of the Pacific	USA	10443
1643	Universidade Federal de Ciências da Saúde de Porto Alegre UFCSPA	BRAZIL	10416
1644	Thammasat University	THAILAND	10410
1645	Université de Moncton	CANADA	10395
1646	Motilal Nehru National Institute of Technology	INDIA	10390
1647	Lafayette College	USA	10383
1648	Université de la Réunion	FRANCE	10379
1649	South Dakota School of Mines & Technology	USA	10361
1650	Sang Myung University / 상명대학교	SOUTH KOREA	10345
1651	Bryn Mawr College	USA	10315
1652	École Nationale Supérieure des Ingénieurs en Arts Chimiques et Technologiques	FRANCE	10312
1653	Abant Izzet Baysal University	TURKEY	10308
1654	Universidade São Francisco	BRAZIL	10290
1655	Université Paris East Marne la Vallée	FRANCE	10250
1656	National Brain Research Centre	INDIA	10247
1657	Keck Graduate Institute	USA	10242
1658	Alfaisal University	SAUDI ARABIA	10212
1659	Evergreen State College	USA	10207
1660	University of Abertay	UNITED KINGDOM	10180
1661	Bezm-i Alem University / Bezmiâlem Vakıf Üniversitesi	TURKEY	10152
1662	Southeastern Louisiana University	USA	10145
1663	Toho University / 東邦大学	JAPAN	10129
1664	Université Charles de Gaulle Lille 3	FRANCE	10127
1665	Universidade Federal de Mato Grosso do Sul	BRAZIL	10112
1666	Lahore University of Management Sciences	PAKISTAN	10103
1667	Universidade Federal do Pampa UNIPAMPA	BRAZIL	10101
1668	Citadel Military College of South California	USA	10091
1669	Ilia State University	GEORGIA	10088
1670	Ostrava University / Ostravská Univerzita v Ostravě	CEZCH REPUBLIC	10068
1671	École Nationale Supérieure d'Électrotechnique d'Électronique d'Informatique d'Hydraulique et des Telecommunications	FRANCE	10060
1672	Universidad Autónoma del Estado de Morelos	MEXICO	10048
1673	King Mongkut's Institute of Technology Ladkrabang	THAILAND	10037
1674	Universidade do Extremo Sul Catarinense UNESC	BRAZIL	10025
1675	Lublin University of Technology / Politechnika Lubelska	POLAND	10010
1676	Uludağ University	TURKEY	9989
1677	Kocaeli University	TURKEY	9988
1678	Hamamatsu University School of Medicine / 浜松医科大学	JAPAN	9978
1679	Oberlin College	USA	9970
1680	National University of Tainan	TAIWAN	9954
1681	Eastern Mediterranean University		9944
1682	Tabriz University of Medical Sciences and Health Services	IRAN	9943
1683	Kadir Has University	TURKEY	9941
